PATH;/System/Characts/bcpg:entityLists/Ings;;;;;;
TYPE;bcpg:ing;;;;;;
COLUMNS;cm:name;cm:description;bcpg:ingType;bcpg:ingCEECode;bcpg:legalName;bcpg:legalName_fr;bcpg:legalName_en
VALUES;aqua (and) propylene glycol (and) vitis vinifera;anti-couperose, circulation sanguine;Actif;;aqua (and) propylene glycol (and) vitis vinifera;aqua (and) propylene glycol (and) vitis vinifera;aqua (and) propylene glycol (and) vitis vinifera
VALUES;aqua (and) sucrose cocoate (and) alcohol;moussant doux;Additif;;aqua (and) sucrose cocoate (and) alcohol;aqua (and) sucrose cocoate (and) alcohol;aqua (and) sucrose cocoate (and) alcohol
VALUES;aqua (water);composant principal des phases aqueuses;Solvant, excipient;;aqua (water);aqua (water);aqua (water)
VALUES;aqua (water) (and) butyrospermum parkii (shea butt;émulsion végétale, réparateur, anti-dessèchement, anti-oxydant, protecteur;Actif;;aqua (water) (and) butyrospermum parkii (shea butt;aqua (water) (and) butyrospermum parkii (shea butt;aqua (water) (and) butyrospermum parkii (shea butt
VALUES;arachidyl propionate;émollient;Ester gras;;arachidyl propionate;arachidyl propionate;arachidyl propionate
VALUES;argania spinosa kernel oil;conditionneur, émollient;Huile végétale;;argania spinosa kernel oil;argania spinosa kernel oil;argania spinosa kernel oil
VALUES;arginine;conditionneur;Actif;;arginine;arginine;arginine
VALUES;ascorbyl palmitate;"ralentir l'oxydation des corps gras et protéger les actifs sensibles à la lumière et/ou à l'oxygène et/ou à la chaleur; peut être aussi utilisé comme actif pour la peau, le dosage sera alors supérieur";Anti-oxydant;;ascorbyl palmitate;ascorbyl palmitate;ascorbyl palmitate
VALUES;avena sativa (oat) kernel extract;anti-oxydant, émollient, conditionneur;Extrait végétal;;avena sativa (oat) kernel extract;avena sativa (oat) kernel extract;avena sativa (oat) kernel extract
VALUES;avena sativa (oat) kernel flour;exfoliant, absorbant, épaississant;Extrait végétal;;avena sativa (oat) kernel flour;avena sativa (oat) kernel flour;avena sativa (oat) kernel flour
VALUES;avena sativa (oil) kernel extract;nourrissant, réparateur, conditionneur;Huile végétale;;avena sativa (oil) kernel extract;avena sativa (oil) kernel extract;avena sativa (oil) kernel extract
VALUES;bambusa arundinacea;exfoliant en poudre;Extrait végétal;;bambusa arundinacea;bambusa arundinacea;bambusa arundinacea
VALUES;bambusa vulgaris;exfoliant;Extrait végétal;;bambusa vulgaris;bambusa vulgaris;bambusa vulgaris
VALUES;beheneth-10;émulsionnant;Tensio-actif;;beheneth-10;beheneth-10;beheneth-10
VALUES;behentrimonium methosulfate;conditionneur, anti-statique;Complexe quaternaire;;behentrimonium methosulfate;behentrimonium methosulfate;behentrimonium methosulfate
VALUES;behenyl alcohol;stabilisateur, viscosant;Alcool gras;;behenyl alcohol;behenyl alcohol;behenyl alcohol
VALUES;bentonite;absorbant, épaississant;Charge;;bentonite;bentonite;bentonite
VALUES;benzoic acid;;0;;benzoic acid;benzoic acid;benzoic acid
VALUES;benzophenone-4;protège le produit de la dégradation par lumière;Filtre uv;;benzophenone-4;benzophenone-4;benzophenone-4
VALUES;benzyl acetate;note fleurie, fruitée (banane);Mp parfumée;;benzyl acetate;benzyl acetate;benzyl acetate
VALUES;benzyl alcohol;note amandée;Mp parfumée;;benzyl alcohol;benzyl alcohol;benzyl alcohol
VALUES;benzyl benzoate;note amandée;Mp parfumée;;benzyl benzoate;benzyl benzoate;benzyl benzoate
VALUES;benzyl salicylate;note 'solaire';Mp parfumée;;benzyl salicylate;benzyl salicylate;benzyl salicylate
VALUES;BHA;ralentir l'oxydation des corps gras et protéger les actifs sensibles à la lumière et/ou à l'oxygène et/ou à la chaleur;Anti-oxydant;;BHA;BHA;BHA
VALUES;BHT;ralentir l'oxydation des corps gras et protéger les actifs sensibles à la lumière et/ou à l'oxygène et/ou à la chaleur;Anti-oxydant;;BHT;BHT;BHT
VALUES;bisabolol;conditionneur, apaisant;Actif;;bisabolol;bisabolol;bisabolol
VALUES;borago officinalis seed oil;émollient, conditionneur, anti-âge, apport en omega-3 et omega-6;Huile végétale;;borago officinalis seed oil;borago officinalis seed oil;borago officinalis seed oil
VALUES;boswellia carterii oil;reconstituant;Huile essentielle;;boswellia carterii oil;boswellia carterii oil;boswellia carterii oil
VALUES;butyl methoxydibenzoylmethane;protège la peau des rayonnements nocifs du soleil;Filtre uv;;butyl methoxydibenzoylmethane;butyl methoxydibenzoylmethane;butyl methoxydibenzoylmethane
VALUES;butyl paraben;empécher la prolifération de bactéries et de levures;Conservateur;;butyl paraben;butyl paraben;butyl paraben
VALUES;butylene glycol;contribue à l'hydratation de la peau, solvant pour des extraits végétaux ou des poudres, présente une petite activité biocide;Humectant, solvant;;butylene glycol;butylene glycol;butylene glycol
VALUES;butylphenyl methylpropional;note fleurie aqueuse;Mp parfumée;;butylphenyl methylpropional;butylphenyl methylpropional;butylphenyl methylpropional
VALUES;butyrospermum parkii (shea butter);nourrissant, réparateur, relipidant, conditionneur, épaississant;Corps gras végétal;;butyrospermum parkii (shea butter);butyrospermum parkii (shea butter);butyrospermum parkii (shea butter)
VALUES;C12-15 alkyl lactate;conditionneur, émollient;Ester gras;;C12-15 alkyl lactate;C12-15 alkyl lactate;C12-15 alkyl lactate
VALUES;C12/15 alkyl benzoate;conditionneur, émollient;Ester gras;;C12/15 alkyl benzoate;C12/15 alkyl benzoate;C12/15 alkyl benzoate
VALUES;C13-14 isoparaffin;solvant, corps gras+D43;Huile minérale;;C13-14 isoparaffin;C13-14 isoparaffin;C13-14 isoparaffin
VALUES;calcium carbonate;poudre donnant de l'adhérence au produit;Charge;;calcium carbonate;calcium carbonate;calcium carbonate
VALUES;camelia sinensis;drainant;Extrait végétal;;camelia sinensis;camelia sinensis;camelia sinensis
VALUES;cannabis sativa seed oil;émollient, conditionneur, anti-âge, raffermissante, réparatrice;Huile végétale;;cannabis sativa seed oil;cannabis sativa seed oil;cannabis sativa seed oil
VALUES;capric acid;tensio-actif;Acide gras;;capric acid;capric acid;capric acid
VALUES;caprylic acid;tensio-actif;Acide gras;;caprylic acid;caprylic acid;caprylic acid
VALUES;caprylic/capric glycerides;émollient, conditionneur, aide à reformer le film hydrolipidique de la peau, laisse la peau souple et douce;Corps gras;;caprylic/capric glycerides;caprylic/capric glycerides;caprylic/capric glycerides
VALUES;caprylic/capric succinic triglycerides;émollient;Corps gras;;caprylic/capric succinic triglycerides;caprylic/capric succinic triglycerides;caprylic/capric succinic triglycerides
VALUES;caprylic/capric triglycerides;émollient, conditionneur, aide à reformer le film hydrolipidique de la peau, laisse la peau souple et douce;Corps gras;;caprylic/capric triglycerides;caprylic/capric triglycerides;caprylic/capric triglycerides
VALUES;caramel;donne une couleur jaune pâle à brun selon le dosage;Colorant;;caramel;caramel;caramel
VALUES;carbomer;gélifier les phases aqueuses, épaissir, augmenter la viscosité;Gélifiant;;carbomer;carbomer;carbomer
VALUES;cellulose;absorbant, épaississant;Polymer;;cellulose;cellulose;cellulose
VALUES;centaurea cyanus flower extract;apaisant;Extrait végétal;;centaurea cyanus flower extract;centaurea cyanus flower extract;centaurea cyanus flower extract
VALUES;centella asiatica extract;conditionneur, actif apaisant, adoucissant;Actif;;centella asiatica extract;centella asiatica extract;centella asiatica extract
VALUES;cera alba (beeswax);stabilisateur d'émulsion, conditionneur, épaississant;Corps gras animal;;cera alba (beeswax);cera alba (beeswax);cera alba (beeswax)
VALUES;cera candelilla (euphorbia cerifera wax);stabilisateur d'émulsion, épaississant, liant, filmogène, conditionneur;Cire végétale;;cera candelilla (euphorbia cerifera wax);cera candelilla (euphorbia cerifera wax);cera candelilla (euphorbia cerifera wax)
VALUES;cera carnauba (copernicia cerifera wax);stabilisateur d'émulsion, épaississant, durciceur, liant;Cire végétale;;cera carnauba (copernicia cerifera wax);cera carnauba (copernicia cerifera wax);cera carnauba (copernicia cerifera wax)
VALUES;cera microcristallina (and) paraffinum liquidum (a;émollient, protecteur;Cire minérale;;cera microcristallina (and) paraffinum liquidum (a;cera microcristallina (and) paraffinum liquidum (a;cera microcristallina (and) paraffinum liquidum (a
VALUES;ceramide 3;conditionneur;Complexe;;ceramide 3;ceramide 3;ceramide 3
VALUES;ceteareth-6;émulsionnant;Tensio-actif;;ceteareth-6;ceteareth-6;ceteareth-6
VALUES;ceteareth-60 myristyl glycol;émulsionnant;Tensio-actif;;ceteareth-60 myristyl glycol;ceteareth-60 myristyl glycol;ceteareth-60 myristyl glycol
VALUES;cetearyl alcohol;stabilisant, opacifiant, épaississant;Alcool gras;;cetearyl alcohol;cetearyl alcohol;cetearyl alcohol
VALUES;cetearyl ethylhexanoate;conditionneur, émollient;Ester gras;;cetearyl ethylhexanoate;cetearyl ethylhexanoate;cetearyl ethylhexanoate
VALUES;cetearyl glucoside;émulsionnant;Tensio-actif;;cetearyl glucoside;cetearyl glucoside;cetearyl glucoside
VALUES;cetearyl isononanoate;conditionneur, émollient;Ester gras;;cetearyl isononanoate;cetearyl isononanoate;cetearyl isononanoate
VALUES;cetearyl stearate;conditionneur;Ester;;cetearyl stearate;cetearyl stearate;cetearyl stearate
VALUES;ceteth-10 phosphate;émulsionnant;Tensio-actif;;ceteth-10 phosphate;ceteth-10 phosphate;ceteth-10 phosphate
VALUES;ceteth-20;émulsionnant;Tensio-actif;;ceteth-20;ceteth-20;ceteth-20
VALUES;cetrimonium bromide;empécher la prolifération de bactéries et de levures;Conservateur, agent anti-statique, tensio-actif;;cetrimonium bromide;cetrimonium bromide;cetrimonium bromide
VALUES;cetyl alcohol;stabilisant, co-émulsionnant, épaississant;Alcool gras;;cetyl alcohol;cetyl alcohol;cetyl alcohol
VALUES;cetyl dimethicone;anti-moussant, occlusif, protecteur;Silicone;;cetyl dimethicone;cetyl dimethicone;cetyl dimethicone
VALUES;cetyl hydroxyethylcellulose;épaississant, viscosant;Gélifiant;;cetyl hydroxyethylcellulose;cetyl hydroxyethylcellulose;cetyl hydroxyethylcellulose
VALUES;cetyl palmitate;conditionneur, occlusif;Ester gras;;cetyl palmitate;cetyl palmitate;cetyl palmitate
VALUES;cetyl ricinoleate;occlusif;Ester gras;;cetyl ricinoleate;cetyl ricinoleate;cetyl ricinoleate
VALUES;chlorhexidine;empécher la prolifération de bactéries et de levures;Conservateur;;chlorhexidine;chlorhexidine;chlorhexidine
VALUES;chlorhexidine digluconate;biocide;Conservateur;;chlorhexidine digluconate;chlorhexidine digluconate;chlorhexidine digluconate
VALUES;chlorphenesin;empécher la prolifération de bactéries et de levures;Conservateur;;chlorphenesin;chlorphenesin;chlorphenesin
VALUES;cholesterol;stabilisateur, conditionneur;Alcool gras;;cholesterol;cholesterol;cholesterol
VALUES;chondrus crispus (carrageenan);gélifier les phases aqueuses, épaissir, augmenter la viscosité;Gélifiant;;chondrus crispus (carrageenan);chondrus crispus (carrageenan);chondrus crispus (carrageenan)
VALUES;CI 14700;rouge;Colorant;;CI 14700;CI 14700;CI 14700
VALUES;CI 15985;coloration jaune orangé;Colorant;;CI 15985;CI 15985;CI 15985
VALUES;CI 42090;colorant bleu turquoise;Colorant;;CI 42090;CI 42090;CI 42090
VALUES;CI 77266;couleur noire;Colorant;;CI 77266;CI 77266;CI 77266
VALUES;CI 77491 (iron oxide);teinte brune;Colorant;;CI 77491 (iron oxide);CI 77491 (iron oxide);CI 77491 (iron oxide)
VALUES;CI 77492;couleur jaune brun;Colorant;;CI 77492;CI 77492;CI 77492
VALUES;CI 77891;poudre blanchissante, écran solaire minéral;Charge;;CI 77891;CI 77891;CI 77891
VALUES;cinnamal;note cannelle;Mp parfumée;;cinnamal;cinnamal;cinnamal
VALUES;cistus labdaniferus oil;tenseur, reconstituant;Huile essentielle;;cistus labdaniferus oil;cistus labdaniferus oil;cistus labdaniferus oil
VALUES;citric acid;permet de rendre le pH d'un produit moins basique ou plus acide;Ajusteur de ph;;citric acid;citric acid;citric acid
VALUES;citronellol;note rosée;Mp parfumée;;citronellol;citronellol;citronellol
VALUES;citronellyl methylcrotonate;anti-odeur;Actif;;citronellyl methylcrotonate;citronellyl methylcrotonate;citronellyl methylcrotonate
VALUES;citrus grandis;purifiant, équilibrant;Huile essentielle;;citrus grandis;citrus grandis;citrus grandis
VALUES;citrus limonum;conditionneur, exfoliant;Huile essentielle;;citrus limonum;citrus limonum;citrus limonum
VALUES;climbazole;empécher la prolifération de bactéries et de levures;Conservateur;;climbazole;climbazole;climbazole
VALUES;cocamide DEA;nettoyant, épaississant;Tensio-actif;;cocamide DEA;cocamide DEA;cocamide DEA
VALUES;cocamide MEA;agent nettoyant, moussant, viscosant;Tensio-actif;;cocamide MEA;cocamide MEA;cocamide MEA
VALUES;cocamide MIPA;moussant, épaississant;Tensio-actif;;cocamide MIPA;cocamide MIPA;cocamide MIPA
VALUES;cocamidopropyl betaine;nettoyant, moussant;Tensio-actif;;cocamidopropyl betaine;cocamidopropyl betaine;cocamidopropyl betaine
VALUES;coco betaine;nettoyant, moussant, conditionneur, anti-statique;Tensio-actif;;coco betaine;coco betaine;coco betaine
VALUES;coco nucifera (coconut) oil;conditionneur, pour le coprah = base d'élaboration d'autres produits;Huile végétale;;coco nucifera (coconut) oil;coco nucifera (coconut) oil;coco nucifera (coconut) oil
VALUES;cocoglucoside;nettoyant;Tensio-actif;;cocoglucoside;cocoglucoside;cocoglucoside
VALUES;coconut acid;nettoyant;Tensio-actif;;coconut acid;coconut acid;coconut acid
VALUES;coriandrum sativum (coriander) seed oil;propriétés : réchauffante et stimulante;Huile essentielle;;coriandrum sativum (coriander) seed oil;coriandrum sativum (coriander) seed oil;coriandrum sativum (coriander) seed oil
VALUES;coumarin;note amandée;Mp parfumée;;coumarin;coumarin;coumarin
VALUES;cucumis sativus (cucumber);émollient, conditionneur, aide à reformer le film hydrolipidique de la peau, laisse la peau souple et douce;Extrait végétal;;cucumis sativus (cucumber);cucumis sativus (cucumber);cucumis sativus (cucumber)
VALUES;cyclohexasiloxane;conditionneur, émollient;Silicone;;cyclohexasiloxane;cyclohexasiloxane;cyclohexasiloxane
VALUES;cyclomethicone;conditionneur, émollient, solvant;Silicone;;cyclomethicone;cyclomethicone;cyclomethicone
VALUES;cyclomethicone (and) dimethicone/vinyl dimethicone;polymer épaississant;Silicone;;cyclomethicone (and) dimethicone/vinyl dimethicone;cyclomethicone (and) dimethicone/vinyl dimethicone;cyclomethicone (and) dimethicone/vinyl dimethicone
VALUES;cyclopentasiloxane;conditionneur, émollient, solvant;Silicone;;cyclopentasiloxane;cyclopentasiloxane;cyclopentasiloxane
VALUES;decyl glucoside;nettoyant;Tensio-actif;;decyl glucoside;decyl glucoside;decyl glucoside
VALUES;decyl oleate;conditionneur, émollient;Ester gras;;decyl oleate;decyl oleate;decyl oleate
VALUES;dehydroacetic acid;biocide;Conservateur;;dehydroacetic acid;dehydroacetic acid;dehydroacetic acid
VALUES;diazolidinyl urea;empécher la prolifération de bactéries et de levures;Conservateur;;diazolidinyl urea;diazolidinyl urea;diazolidinyl urea
VALUES;dicaprylyl carbonate;émollient;Ester gras;;dicaprylyl carbonate;dicaprylyl carbonate;dicaprylyl carbonate
VALUES;dicaprylyl ether;émollient;Ether;;dicaprylyl ether;dicaprylyl ether;dicaprylyl ether
VALUES;diethylhexyl sebacate;filmogène, solvent, MP parfum;Ester gras;;diethylhexyl sebacate;diethylhexyl sebacate;diethylhexyl sebacate
VALUES;dimethicone;anti-moussant, occlusif, protecteur;Silicone;;dimethicone;dimethicone;dimethicone
VALUES;dimethicone copolyol;conditionneur;Silicone;;dimethicone copolyol;dimethicone copolyol;dimethicone copolyol
VALUES;dimethicone PEG-7 phosphate;émulsionnant;Tensio-actif;;dimethicone PEG-7 phosphate;dimethicone PEG-7 phosphate;dimethicone PEG-7 phosphate
VALUES;dimethiconol;anti-moussant, émollient;Silicone;;dimethiconol;dimethiconol;dimethiconol
VALUES;dipentaerythrityl hexacaprylate/hexacaprate;occlusif, viscosant;Ester gras;;dipentaerythrityl hexacaprylate/hexacaprate;dipentaerythrityl hexacaprylate/hexacaprate;dipentaerythrityl hexacaprylate/hexacaprate
VALUES;diphenyl dimethicone;anti-moussant, occlusif, protecteur;Silicone;;diphenyl dimethicone;diphenyl dimethicone;diphenyl dimethicone
VALUES;dipropylene glycol;composant de l'excipient, solvant pour parfum;Solvant;;dipropylene glycol;dipropylene glycol;dipropylene glycol
VALUES;disodium cocoamphodiacetate;nettoyant, moussant, conditionneur;Tensio-actif;;disodium cocoamphodiacetate;disodium cocoamphodiacetate;disodium cocoamphodiacetate
VALUES;disodium cocoyl glutamate;nettoyant;Tensio-actif;;disodium cocoyl glutamate;disodium cocoyl glutamate;disodium cocoyl glutamate
VALUES;disodium EDTA;neutraliser les ions complexes de l'eau, en particulier le calcaire;Chelatant;;disodium EDTA;disodium EDTA;disodium EDTA
VALUES;disodium laureth sulfosuccinate;nettoyant, moussant, en association augmente le pouvoir moussant et viscosant;Tensio-actif;;disodium laureth sulfosuccinate;disodium laureth sulfosuccinate;disodium laureth sulfosuccinate
VALUES;disodium lauryl sulfosuccinate;agent nettoyant, moussant, très doux;Tensio-actif;;disodium lauryl sulfosuccinate;disodium lauryl sulfosuccinate;disodium lauryl sulfosuccinate
VALUES;disodium oleamido PEG-2 sulfosuccinate;nettoyant, mousant, hydrotrope;Tensio-actif;;disodium oleamido PEG-2 sulfosuccinate;disodium oleamido PEG-2 sulfosuccinate;disodium oleamido PEG-2 sulfosuccinate
VALUES;disodium phosphate;tampon, anti-oxydant;Ajusteur de ph;;disodium phosphate;disodium phosphate;disodium phosphate
VALUES;DMDM hydantoin;empécher la prolifération de bactéries et de levures;Conservateur;;DMDM hydantoin;DMDM hydantoin;DMDM hydantoin
VALUES;docosahexaenoic acid;conditionneur;Acide;;docosahexaenoic acid;docosahexaenoic acid;docosahexaenoic acid
VALUES;EDTA;neutralise en partie le calcaire de l'eau;Chélatant;;EDTA;EDTA;EDTA
VALUES;eicosapentaenoic acid;conditionneur;Acide;;eicosapentaenoic acid;eicosapentaenoic acid;eicosapentaenoic acid
VALUES;elaeis guineensis (palm) oil;émollient, occlusif;Huile végétale;;elaeis guineensis (palm) oil;elaeis guineensis (palm) oil;elaeis guineensis (palm) oil
VALUES;ethoxydiglycol;solvant, fluidifiant;Ether;;ethoxydiglycol;ethoxydiglycol;ethoxydiglycol
VALUES;ethyl avocadate;conditionneur, émolient;Ester;;ethyl avocadate;ethyl avocadate;ethyl avocadate
VALUES;ethyl glutamate;conditionneur;Ester;;ethyl glutamate;ethyl glutamate;ethyl glutamate
VALUES;ethyl methoxycinnamate;protège la peau des rayonnements nocifs du soleil;Filtre uv;;ethyl methoxycinnamate;ethyl methoxycinnamate;ethyl methoxycinnamate
VALUES;ethyl paraben;empécher la prolifération de bactéries et de levures;Conservateur;;ethyl paraben;ethyl paraben;ethyl paraben
VALUES;ethylhexyl methoxycinnamate;protège la peau des rayonnements nocifs du soleil;Filtre uv;;ethylhexyl methoxycinnamate;ethylhexyl methoxycinnamate;ethylhexyl methoxycinnamate
VALUES;ethylhexyl methoxycinnamate (and) butyl methoxydib;protection du produit contre les UV;Mélange;;ethylhexyl methoxycinnamate (and) butyl methoxydib;ethylhexyl methoxycinnamate (and) butyl methoxydib;ethylhexyl methoxycinnamate (and) butyl methoxydib
VALUES;ethylhexyl palmitate;émollient;Ester gras;;ethylhexyl palmitate;ethylhexyl palmitate;ethylhexyl palmitate
VALUES;ethylhexyl salicylate;protection du produit contre les UV;Filtre uv;;ethylhexyl salicylate;ethylhexyl salicylate;ethylhexyl salicylate
VALUES;eucalyptus globulus oil;purifiante;Huile essentielle;;eucalyptus globulus oil;eucalyptus globulus oil;eucalyptus globulus oil
VALUES;Ext. D&C violet n°2;colorant violet;Colorant;;Ext. D&C violet n°2;Ext. D&C violet n°2;Ext. D&C violet n°2
VALUES;fenchyl acetate;;Mp parfumée;;fenchyl acetate;fenchyl acetate;fenchyl acetate
VALUES;formaldehyde;empécher la prolifération de bactéries et de levures;Conservateur;;formaldehyde;formaldehyde;formaldehyde
VALUES;geraniol;note rosée;Mp parfumée;;geraniol;geraniol;geraniol
VALUES;geranium maculatum oil;stimulante;Huile essentielle;;geranium maculatum oil;geranium maculatum oil;geranium maculatum oil
VALUES;ginkgo biloba;conditionneur, anti-âge;Extrait végétal;;ginkgo biloba;ginkgo biloba;ginkgo biloba
VALUES;glycereth-26;humectant, fluidifiant;Ether;;glycereth-26;glycereth-26;glycereth-26
VALUES;glycerin;contribue à l'hydratation de la peau;Humectant;;glycerin;glycerin;glycerin
VALUES;glyceryl cocoate;émollient, émulsionnant;Ester;;glyceryl cocoate;glyceryl cocoate;glyceryl cocoate
VALUES;glyceryl isostearate;émollient, émulsionnant;Ester;;glyceryl isostearate;glyceryl isostearate;glyceryl isostearate
VALUES;glyceryl oleate;émollient, émulsionnant;Ester;;glyceryl oleate;glyceryl oleate;glyceryl oleate
VALUES;glyceryl polymethacrylate;filmogène;Polymer;;glyceryl polymethacrylate;glyceryl polymethacrylate;glyceryl polymethacrylate
VALUES;glyceryl stearate;émollient, émulsionnant;Ester;;glyceryl stearate;glyceryl stearate;glyceryl stearate
VALUES;glycine;conditionneur, substance tampon;Actif;;glycine;glycine;glycine
VALUES;glycine soja;restructurant, tonifiant;Extrait végétal;;glycine soja;glycine soja;glycine soja
VALUES;glycol distearate;opacifiant, nacrant, viscosant;Ester;;glycol distearate;glycol distearate;glycol distearate
VALUES;glycol distearate (and) laureth-4 (and) cocamidopr;agent nettoyant, moussant, viscosant, donne un aspect nacré;Tensio-actif;;glycol distearate (and) laureth-4 (and) cocamidopr;glycol distearate (and) laureth-4 (and) cocamidopr;glycol distearate (and) laureth-4 (and) cocamidopr
VALUES;glycol stearate;émulsionnant, opacifiant, viscosant, émollient;Ester;;glycol stearate;glycol stearate;glycol stearate
VALUES;gossypium;apaisant;Extrait végétal;;gossypium;gossypium;gossypium
VALUES;guanidine carbonate;disciplinant capillaire, tenseur;Actif;;guanidine carbonate;guanidine carbonate;guanidine carbonate
VALUES;hedera helix (ivy) extract;drainant;Actif;;hedera helix (ivy) extract;hedera helix (ivy) extract;hedera helix (ivy) extract
VALUES;helianthus annuus (sunflower) seed extract;protecteur, anti-âge;Extrait végétal;;helianthus annuus (sunflower) seed extract;helianthus annuus (sunflower) seed extract;helianthus annuus (sunflower) seed extract
VALUES;helianthus annuus (sunflower) seed oil;protectrice, conditionneur;Huile végétale;;helianthus annuus (sunflower) seed oil;helianthus annuus (sunflower) seed oil;helianthus annuus (sunflower) seed oil
VALUES;hesperidin methyl chalcone;anti-oxydant;Anti-oxydant;;hesperidin methyl chalcone;hesperidin methyl chalcone;hesperidin methyl chalcone
VALUES;hexyldecyl stearate;émollient, occlusif;Ester gras;;hexyldecyl stearate;hexyldecyl stearate;hexyldecyl stearate
VALUES;hexylene glycol;solvant, fluidifiant;Alcool;;hexylene glycol;hexylene glycol;hexylene glycol
